,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,score
82,3k,help,153,5.030437921,4.511770098,3.65,1.79,1.46,1631.0,917.0,754.0,3.715885049
83,3k,please,135,4.905274778,4.648323637,3.482868,1.22,1.3931472,286.0,207.0,159.0,3.717309019
84,3k,hat,120,4.787491743,4.776825447,3.33,1.14,1.332,369.0,140.0,97.0,3.720412724
85,3k,three,155,5.043425117,4.49760101,3.685351,1.5,1.4741404,578.0,532.0,576.0,3.722940905
86,3k,car,122,4.804021045,4.758791906,3.37,1.95,1.348,741.0,492.0,370.0,3.727395953
87,3k,long,229,5.433722004,4.07178539,4.239515,1.83,1.695806,966.0,1098.0,1146.0,3.731698695
88,3k,bad,78,4.356708827,5.246811504,2.79,1.27,1.116,421.0,301.0,236.0,3.739405752
89,3k,nose,84,4.430816799,5.16595938,2.95,1.15,1.18,181.0,123.0,123.0,3.76297969
90,lcnl,as,844,6.738152495,2.648645986,6.10449,2.3,2.441796,2243.0,3346.0,4616.0,3.766118993
91,3k,time,417,6.033086222,3.417876391,5.16,1.86,2.064,1847.0,1882.0,2005.0,3.772938196
92,3k,know,257,5.549076085,3.94593358,4.5,2.12,1.8,2010.0,1924.0,1730.0,3.77296679
93,lcnl,if,468,6.148468296,3.291994041,5.3585,2.34,2.1434,1827.0,2192.0,2595.0,3.789397021
94,3k,fly,85,4.442651256,5.153047935,3.05,1.18,1.22,396.0,182.0,110.0,3.796523967
95,3k,some,316,5.755742214,3.720459924,4.846964,2.44,1.9387856,2171.0,1973.0,2260.0,3.799015562
96,lcnl,eyes,111,4.709530201,4.861881832,3.443482,1.36,1.3773928,487.0,652.0,712.0,3.808333716
97,3k,green,141,4.94875989,4.600881189,3.79,1.32,1.516,523.0,276.0,236.0,3.816440595
98,3k,boy,129,4.859812404,4.697923287,3.67,1.88,1.468,952.0,675.0,614.0,3.816961644
99,3k,hand,65,4.17438727,5.445725124,2.74,1.24,1.096,434.0,501.0,519.0,3.818862562
100,3k,our,209,5.342334252,4.171489829,4.346085,1.53,1.738434,621.0,709.0,909.0,3.824178915
101,3k,now,405,6.003887067,3.449732797,5.25193,1.77,2.100772,2249.0,1833.0,1836.0,3.825638398
102,3k,why,157,5.056245805,4.483613583,3.97309,2.11,1.589236,1218.0,1084.0,927.0,3.831042792
103,3k,bird,112,4.718498871,4.852096974,3.52,1.66,1.408,540.0,167.0,118.0,3.834048487
104,3k,ball,70,4.248495242,5.364873001,2.9,1.22,1.16,587.0,304.0,248.0,3.842436501
105,3k,back,406,6.00635316,3.447042279,5.305215,2.35,2.122086,2096.0,1959.0,1784.0,3.845607139
106,3k,train,155,5.043425117,4.49760101,4.0,1.71,1.6,222.0,127.0,95.0,3.848800505
107,3k,would,396,5.981414211,3.474250782,5.28,1.56,2.112,1957.0,2329.0,2710.0,3.849125391
108,lcnl,us,177,5.176149733,4.352797871,4.18623,2.07,1.674492,997.0,883.0,909.0,3.850890936
109,3k,think,265,5.579729826,3.912490213,4.75,1.55,1.9,1417.0,1313.0,1353.0,3.856245107
110,3k,want,169,5.129898715,4.403257934,4.16,2.32,1.664,2034.0,1248.0,985.0,3.865628967
111,3k,sun,95,4.553876892,5.031700278,3.4,1.64,1.36,573.0,430.0,418.0,3.875850139
112,3k,ask,65,4.17438727,5.445725124,2.89,1.37,1.156,339.0,309.0,266.0,3.878862562
113,3k,friend,105,4.65396035,4.922508784,3.57,1.43,1.428,427.0,343.0,276.0,3.889254392
114,3k,name,112,4.718498871,4.852096974,3.68,1.53,1.472,635.0,533.0,469.0,3.898048487
115,3k,make,233,5.451038454,4.052893067,4.68,1.77,1.872,1380.0,1258.0,1453.0,3.898446534
116,3k,fell,83,4.418840608,5.179025457,3.280385,1.2,1.312154,294.0,238.0,186.0,3.901666729
117,3k,too,313,5.746203191,3.73086704,5.102732,2.0,2.0410928,2069.0,1669.0,1456.0,3.90652632
118,3k,truck,119,4.779123493,4.785955244,3.79,1.47,1.516,308.0,158.0,85.0,3.908977622
119,3k,dad,49,3.891820298,5.754006934,2.58,1.17,1.032,731.0,292.0,173.0,3.909003467
120,3k,school,127,4.844187086,4.714970578,3.89,1.37,1.556,1065.0,866.0,777.0,3.913485289
121,3k,black,98,4.584967479,4.99778031,3.56,1.92,1.424,261.0,293.0,309.0,3.922890155
122,3k,fast,111,4.709530201,4.861881832,3.738636,1.33,1.4954544,610.0,347.0,221.0,3.926395316
123,3k,hear,115,4.744932128,4.823258174,3.8,1.64,1.52,482.0,457.0,373.0,3.931629087
124,3k,tell,156,5.049856007,4.490584881,4.26,2.05,1.704,1243.0,1107.0,962.0,3.949292441
125,3k,their,324,5.780743516,3.693183393,5.262587,2.02,2.1050348,660.0,1336.0,2034.0,3.951626497
126,3k,fire,74,4.304065093,5.304246049,3.25,1.16,1.3,290.0,394.0,318.0,3.952123024
127,3k,hug,45,3.80666249,5.846914477,2.58,0.96,1.032,48.0,23.0,9.0,3.955457239
128,3k,take,164,5.099866428,4.436023292,4.37,1.89,1.748,1347.0,1036.0,1013.0,3.966011646
129,3k,hair,68,4.219507705,5.396498531,3.17,1.76,1.268,214.0,246.0,228.0,3.966249266
130,3k,food,69,4.234106505,5.380571177,3.25,1.21,1.3,454.0,529.0,663.0,3.990285589
131,3k,hot,75,4.317488114,5.289601474,3.37,1.77,1.348,449.0,281.0,252.0,3.992800737
132,3k,walk,79,4.369447852,5.232913171,3.45,2.04,1.38,485.0,351.0,281.0,3.996456586
133,3k,try,78,4.356708827,5.246811504,3.44,2.15,1.376,370.0,362.0,347.0,3.999405752
134,3k,play,126,4.836281907,4.723595164,4.1,2.59,1.64,1169.0,470.0,322.0,4.001797582
135,3k,snow,124,4.820281566,4.741051606,4.11,2.31,1.644,236.0,211.0,229.0,4.014525803
136,3k,wet,37,3.610917913,6.060472672,2.47,1.35,0.988,218.0,127.0,106.0,4.018236336
137,3k,top,104,4.644390899,4.932949097,3.89,1.53,1.556,394.0,368.0,326.0,4.022474549
138,3k,next,144,4.9698133,4.577911827,4.346085,1.86,1.738434,972.0,841.0,688.0,4.027389914
139,3k,rain,83,4.418840608,5.179025457,3.6,1.27,1.44,361.0,227.0,185.0,4.029512729
140,3k,fish,115,4.744932128,4.823258174,4.05,1.61,1.62,908.0,366.0,237.0,4.031629087
141,3k,by,312,5.743003188,3.734358257,5.411785,1.5,2.164714,1189.0,1462.0,2074.0,4.031893129
142,3k,how,292,5.676753802,3.806636628,5.3585,1.92,2.1434,2048.0,2049.0,2147.0,4.046718314
143,3k,sit,73,4.290459441,5.319089875,3.47,2.25,1.388,376.0,230.0,166.0,4.047544938
144,3k,cry,44,3.784189634,5.871432462,2.78,1.66,1.112,187.0,147.0,89.0,4.047716231
145,3k,bus,96,4.564348191,5.020276043,3.85,1.57,1.54,349.0,228.0,132.0,4.050138022
146,3k,thing,162,5.087596335,4.449410017,4.58,1.61,1.832,640.0,585.0,607.0,4.056705009
147,3k,sad,60,4.094344562,5.533052071,3.24,2.21,1.296,274.0,147.0,84.0,4.062526036
148,3k,duck,72,4.276666119,5.33413845,3.5,1.64,1.4,390.0,50.0,20.0,4.067069225
149,3k,first,138,4.927253685,4.624344553,4.388713,1.31,1.7554852,745.0,994.0,1181.0,4.067657477
150,3k,book,82,4.406719247,5.192249915,3.68,1.8,1.472,641.0,317.0,309.0,4.068124958
151,3k,shoe,37,3.610917913,6.060472672,2.6,1.19,1.04,45.0,34.0,27.0,4.070236336
152,3k,new,174,5.159055299,4.371447973,4.72,2.14,1.888,879.0,794.0,945.0,4.073723987
153,3k,fun,79,4.369447852,5.232913171,3.67,0.97,1.468,629.0,241.0,159.0,4.084456586
154,3k,dark,83,4.418840608,5.179025457,3.74,1.37,1.496,324.0,340.0,310.0,4.085512728
155,3k,bye,58,4.060443011,5.570038813,3.280385,2.16,1.312154,,,,4.097173407
156,3k,best,105,4.65396035,4.922508784,4.090317,1.66,1.6361268,395.0,372.0,339.0,4.097381192
157,3k,wish,84,4.430816799,5.16595938,3.79,0.92,1.516,366.0,200.0,145.0,4.09897969
158,3k,hill,66,4.189654742,5.429068245,3.47,1.47,1.388,252.0,182.0,134.0,4.102534123
159,3k,must,148,4.997212274,4.548019425,4.58,2.36,1.832,818.0,792.0,834.0,4.106009713
160,lcnl,clothes,50,3.912023005,5.731965691,3.11,1.41,1.244,155.0,192.0,179.0,4.109982846
161,3k,toy,45,3.80666249,5.846914477,3.0,1.15,1.2,105.0,48.0,27.0,4.123457239
162,3k,frog,117,4.762173935,4.804447287,4.32,1.45,1.728,876.0,101.0,28.0,4.130223644
163,3k,last,119,4.779123493,4.785955244,4.346085,1.83,1.738434,632.0,675.0,653.0,4.131411622
164,3k,sky,104,4.644390899,4.932949097,4.17,1.89,1.668,404.0,254.0,205.0,4.134474549
165,3k,love,215,5.370638028,4.140610285,5.17,3.54,2.068,111.0,164.0,135.0,4.138305143
166,3k,milk,57,4.043051268,5.58901328,3.37,1.42,1.348,162.0,153.0,127.0,4.14250664
167,3k,much,138,4.927253685,4.624344553,4.580539,1.24,1.8322156,698.0,820.0,975.0,4.144387877
168,3k,then,673,6.51174533,2.895657199,6.74391,3.51,2.697564,4009.0,3107.0,2849.0,4.1453926
169,3k,cold,86,4.454347296,5.140287504,3.95,1.79,1.58,394.0,322.0,365.0,4.150143752
170,3k,way,247,5.509388337,3.989233088,5.39,1.74,2.156,1288.0,1322.0,1517.0,4.150616544
171,3k,thank,76,4.33073334,5.275150874,3.79,1.72,1.516,248.0,115.0,73.0,4.153575437
172,3k,mouth,65,4.17438727,5.445725124,3.58,1.43,1.432,127.0,178.0,195.0,4.154862562
173,3k,need,64,4.158883083,5.46264026,3.56,1.34,1.424,733.0,546.0,562.0,4.15532013
174,3k,nice,85,4.442651256,5.153047935,3.95,1.51,1.58,333.0,232.0,170.0,4.156523968
175,3k,rock,49,3.891820298,5.754006934,3.22,1.17,1.288,287.0,163.0,140.0,4.165003467
176,3k,cake,50,3.912023005,5.731965691,3.26,2.28,1.304,259.0,68.0,40.0,4.169982846
177,3k,white,89,4.48863637,5.102877974,4.06,1.66,1.624,360.0,377.0,403.0,4.175438987
178,3k,give,103,4.634728988,4.943490285,4.28,1.93,1.712,570.0,523.0,477.0,4.183745143
179,3k,room,97,4.574710979,5.008970197,4.22,1.44,1.688,849.0,710.0,718.0,4.192485099
180,3k,sing,55,4.007333185,5.627981866,3.47,1.31,1.388,126.0,71.0,58.0,4.201990933
181,3k,let,119,4.779123493,4.785955244,4.53,2.09,1.812,919.0,662.0,613.0,4.204977622
182,3k,girl,80,4.382026635,5.219189664,4.0,1.89,1.6,643.0,401.0,356.0,4.209594832
183,3k,read,86,4.454347296,5.140287504,4.11,1.68,1.644,529.0,494.0,520.0,4.214143752
184,3k,bread,58,4.060443011,5.570038813,3.58,1.61,1.432,142.0,102.0,83.0,4.217019406
185,3k,end,93,4.532599493,5.054914013,4.28,2.61,1.712,296.0,327.0,384.0,4.239457007
186,3k,air,71,4.262679877,5.349397502,3.94,1.55,1.576,314.0,415.0,516.0,4.250698751
187,3k,wind,68,4.219507705,5.396498531,3.89,1.37,1.556,317.0,238.0,246.0,4.254249266
188,3k,face,61,4.110873864,5.515018529,3.75,2.2,1.5,376.0,435.0,483.0,4.257509264
189,3k,jump,31,3.433987204,6.253504853,2.84,1.3,1.136,406.0,110.0,71.0,4.262752427
190,3k,sound,59,4.077537444,5.551388711,3.72,1.53,1.488,208.0,338.0,343.0,4.263694356
191,3k,run,100,4.605170186,4.975739068,4.47,1.9,1.788,734.0,399.0,322.0,4.275869534
192,3k,box,86,4.454347296,5.140287504,4.3,1.66,1.72,653.0,267.0,174.0,4.290143752
193,3k,grass,66,4.189654742,5.429068245,3.94,1.55,1.576,232.0,186.0,175.0,4.290534122
194,3k,ten,50,3.912023005,5.731965691,3.578781,1.49,1.4315124,200.0,184.0,168.0,4.297495246
195,3k,nap,23,3.135494216,6.579162017,2.53,0.77,1.012,54.0,22.0,8.0,4.301581009
196,3k,nine,38,3.63758616,6.031377497,3.2271,1.3,1.29084,53.0,60.0,57.0,4.306528749
197,3k,brown,77,4.343805422,5.260889175,4.196887,1.31,1.6787548,264.0,162.0,151.0,4.309199388
198,3k,lunch,50,3.912023005,5.731965691,3.61,1.69,1.444,407.0,167.0,91.0,4.309982846
199,3k,pig,57,4.043051268,5.58901328,3.84,2.03,1.536,310.0,97.0,46.0,4.33050664
200,3k,once,129,4.859812404,4.697923287,4.974848,2.32,1.9899392,338.0,463.0,547.0,4.338900844
201,3k,soon,115,4.744932128,4.823258174,4.82565,1.88,1.93026,616.0,558.0,486.0,4.341889087
202,3k,wait,78,4.356708827,5.246811504,4.3,1.89,1.72,424.0,321.0,203.0,4.343405752
203,3k,tail,50,3.912023005,5.731965691,3.7,1.13,1.48,177.0,184.0,127.0,4.345982846
204,3k,turn,67,4.204692619,5.412661855,4.11,1.73,1.644,224.0,294.0,307.0,4.350330928
205,3k,cow,59,4.077537444,5.551388711,3.94,1.63,1.576,154.0,66.0,48.0,4.351694356
206,3k,great,131,4.875197323,4.681138273,5.05,1.23,2.02,373.0,399.0,498.0,4.360569137
207,3k,saw,164,5.099866428,4.436023292,5.3585,2.09,2.1434,1596.0,999.0,727.0,4.361411646
208,3k,kiss,45,3.80666249,5.846914477,3.61,2.25,1.444,23.0,13.0,10.0,4.367457239
209,3k,full,71,4.262679877,5.349397502,4.24,1.61,1.696,92.0,167.0,192.0,4.370698751
210,3k,high,91,4.510859507,5.078632434,4.58,2.24,1.832,243.0,344.0,407.0,4.371316217
211,3k,light,61,4.110873864,5.515018529,4.05,1.99,1.62,356.0,353.0,454.0,4.377509265
212,3k,thought,234,5.455321115,4.048220664,5.89135,2.18,2.35654,1047.0,1130.0,1062.0,4.380650332
213,3k,slow,65,4.17438727,5.445725124,4.15,1.76,1.66,105.0,81.0,77.0,4.382862562
214,3k,foot,38,3.63758616,6.031377497,3.44,1.38,1.376,152.0,134.0,140.0,4.391688749
215,3k,hard,76,4.33073334,5.275150874,4.39,2.15,1.756,573.0,581.0,543.0,4.393575437
216,3k,ice,51,3.931825633,5.710360938,3.86,1.06,1.544,127.0,156.0,160.0,4.399180469
217,3k,bath,32,3.465735903,6.218866883,3.23,1.56,1.292,26.0,31.0,24.0,4.401433442
218,3k,dance,89,4.48863637,5.102877974,4.63,1.57,1.852,55.0,60.0,51.0,4.403438987
219,3k,through,212,5.356586275,4.155940809,5.816751,1.86,2.3267004,343.0,714.0,989.0,4.404670805
220,3k,mouse,111,4.709530201,4.861881832,4.94,1.76,1.976,442.0,171.0,82.0,4.406940916
221,3k,talk,44,3.784189634,5.871432462,3.68,1.73,1.472,460.0,372.0,300.0,4.407716231
222,3k,found,124,4.820281566,4.741051606,5.14536,1.96,2.058144,533.0,535.0,632.0,4.428669803
223,lcnl,orange,31,3.433987204,6.253504853,3.26,1.15,1.304,49.0,49.0,41.0,4.430752427
224,3k,still,134,4.8978398,4.656435231,5.262587,1.87,2.1050348,699.0,758.0,830.0,4.433252416
225,3k,boat,47,3.850147602,5.799472029,3.84,1.46,1.536,379.0,207.0,132.0,4.435736015
226,3k,pie,41,3.713572067,5.948476538,3.67,1.64,1.468,31.0,22.0,20.0,4.442238269
227,3k,leg,25,3.218875825,6.488192314,3.0,1.5,1.2,118.0,114.0,83.0,4.444096157
228,3k,bell,48,3.871201011,5.776502667,3.89,1.68,1.556,248.0,108.0,80.0,4.444251334
229,3k,place,104,4.644390899,4.932949097,4.95,1.96,1.98,720.0,670.0,756.0,4.446474548
230,3k,sheep,62,4.127134385,5.49727823,4.25,1.52,1.7,192.0,84.0,76.0,4.448639115
231,3k,round,88,4.477336814,5.115205839,4.75,2.05,1.9,106.0,120.0,158.0,4.457602919
232,3k,those,104,4.644390899,4.932949097,5.006819,2.27,2.0027276,262.0,339.0,403.0,4.469202149
233,3k,cup,36,3.583518938,6.090365073,3.57,1.99,1.428,41.0,55.0,43.0,4.473182536
234,3k,just,448,6.104793232,3.339643727,7.010335,2.48,2.804134,2152.0,2096.0,1991.0,4.473955864
235,3k,keep,67,4.204692619,5.412661855,4.42,2.04,1.768,496.0,530.0,579.0,4.474330928
236,lcnl,tired,77,4.343805422,5.260889175,4.62,2.58,1.848,225.0,208.0,163.0,4.478444588
237,3k,street,74,4.304065093,5.304246049,4.58,2.48,1.832,563.0,369.0,284.0,4.484123025
238,3k,moon,88,4.477336814,5.115205839,4.83,2.31,1.932,196.0,119.0,143.0,4.489602919
239,3k,sure,89,4.48863637,5.102877974,4.85,1.46,1.94,467.0,589.0,564.0,4.491438987
240,3k,town,107,4.672828834,4.901923185,5.11,2.66,2.044,236.0,262.0,297.0,4.494961593
241,3k,each,95,4.553876892,5.031700278,4.953534,1.53,1.9814136,566.0,741.0,955.0,4.497263739
242,3k,count,17,2.833213344,6.908951778,2.61,0.98,1.044,92.0,57.0,57.0,4.498475889
243,3k,side,79,4.369447852,5.232913171,4.72,1.27,1.888,413.0,429.0,422.0,4.504456586
244,lcnl,woof,33,3.496507561,6.185294868,3.53,1.87,1.412,30.0,6.0,0.0,4.504647434
245,3k,well,222,5.402677382,4.105655209,6.157775,2.65,2.46311,1024.0,1066.0,1046.0,4.515937604
246,3k,watch,57,4.043051268,5.58901328,4.33,1.61,1.732,284.0,294.0,258.0,4.52650664
247,3k,clean,41,3.713572067,5.948476538,3.89,1.49,1.556,258.0,163.0,134.0,4.530238269
248,3k,call,76,4.33073334,5.275150874,4.74,1.85,1.896,341.0,315.0,268.0,4.533575437
249,3k,song,53,3.970291914,5.668394056,4.26,1.73,1.704,58.0,56.0,52.0,4.538197028
250,3k,moo,31,3.433987204,6.253504853,3.53,1.87,1.412,,,,4.538752427
251,3k,mean,43,3.761200116,5.896514127,4.0,1.68,1.6,330.0,377.0,282.0,4.548257064
252,3k,drink,29,3.36729583,6.326265436,3.47,1.31,1.388,181.0,126.0,96.0,4.551132718
253,3k,spoon,14,2.63905733,7.120776844,2.5,0.79,1.0,19.0,12.0,12.0,4.560388422
254,3k,ear,32,3.465735903,6.218866883,3.63,1.92,1.452,28.0,74.0,70.0,4.561433442
255,3k,rest,49,3.891820298,5.754006934,4.22,2.53,1.688,199.0,221.0,235.0,4.565003467
256,3k,soft,40,3.688879454,5.975416287,3.95,1.5,1.58,107.0,126.0,138.0,4.567708144
257,3k,egg,38,3.63758616,6.031377497,3.89,1.85,1.556,133.0,90.0,53.0,4.571688749
258,3k,four,81,4.394449155,5.20563664,4.93222,2.48,1.972888,222.0,249.0,293.0,4.57570632
259,3k,five,59,4.077537444,5.551388711,4.50594,1.36,1.802376,168.0,226.0,224.0,4.578070355
260,3k,floor,56,4.025351691,5.608323597,4.44,1.98,1.776,246.0,227.0,250.0,4.580161799
261,3k,stick,37,3.610917913,6.060472672,3.89,1.57,1.556,163.0,128.0,112.0,4.586236336
262,cdi,lion,54,3.988984047,5.648000857,4.42,1.74,1.768,225.0,109.0,74.0,4.592000429
263,3k,neck,19,2.944438979,6.78760412,3.0,1.25,1.2,65.0,87.0,85.0,4.59380206
264,3k,star,36,3.583518938,6.090365073,3.89,1.59,1.556,85.0,93.0,80.0,4.601182537
265,3k,left,119,4.779123493,4.785955244,5.57164,2.17,2.228656,556.0,604.0,606.0,4.621633622
266,lcnl,ma,48,3.871201011,5.776502667,4.346085,2.74,1.738434,15.0,80.0,84.0,4.626685334
267,3k,smile,26,3.258096538,6.445402344,3.51,1.72,1.404,104.0,118.0,100.0,4.626701172
268,3k,chair,24,3.17805383,6.53272929,3.43,1.33,1.372,108.0,130.0,133.0,4.638364645
269,3k,will,485,6.184148891,3.253066354,7.53,2.87,3.012,4845.0,2333.0,1948.0,4.638533177
270,3k,than,105,4.65396035,4.922508784,5.454413,2.33,2.1817652,476.0,728.0,1008.0,4.643019592
271,3k,find,133,4.890349128,4.664607587,5.78,3.89,2.312,1342.0,870.0,874.0,4.644303794
272,3k,pink,31,3.433987204,6.253504853,3.8,1.61,1.52,20.0,43.0,40.0,4.646752427
273,lcnl,kids,32,3.465735903,6.218866883,3.861149,1.2,1.5444596,211.0,178.0,152.0,4.653893042
274,3k,world,93,4.532599493,5.054914013,5.32,2.26,2.128,150.0,273.0,399.0,4.655457007
275,3k,front,84,4.430816799,5.16595938,5.187988,2.06,2.0751952,372.0,447.0,450.0,4.65817489
276,3k,square,38,3.63758616,6.031377497,4.11,1.18,1.644,16.0,31.0,48.0,4.659688749
277,3k,voice,64,4.158883083,5.46264026,4.83,1.54,1.932,213.0,387.0,359.0,4.66332013
278,3k,dear,107,4.672828834,4.901923185,5.550326,1.82,2.2201304,73.0,93.0,84.0,4.671091993
279,3k,brush,29,3.36729583,6.326265436,3.78,1.59,1.512,68.0,39.0,45.0,4.675132718
280,3k,coat,25,3.218875825,6.488192314,3.58,1.22,1.432,120.0,82.0,83.0,4.676096157
281,3k,noise,49,3.891820298,5.754006934,4.5,2.2,1.8,213.0,157.0,111.0,4.677003467
282,lcnl,arms,28,3.33220451,6.36455022,3.738636,2.14,1.4954544,110.0,150.0,166.0,4.67772951
283,3k,catch,53,3.970291914,5.668394056,4.61,2.07,1.844,187.0,192.0,146.0,4.678197028
284,3k,horse,37,3.610917913,6.060472672,4.15,1.46,1.66,246.0,233.0,232.0,4.690236336
285,3k,mine,39,3.663561646,6.003038127,4.239515,2.42,1.695806,116.0,104.0,93.0,4.697325064
286,3k,bite,24,3.17805383,6.53272929,3.58,1.3,1.432,54.0,46.0,43.0,4.698364645
287,3k,far,61,4.110873864,5.515018529,4.878935,1.57,1.951574,377.0,369.0,389.0,4.709083265
288,3k,snack,13,2.564949357,7.201628967,2.78,1.22,1.112,13.0,13.0,6.0,4.712814484
289,3k,warm,51,3.931825633,5.710360938,4.65,1.79,1.86,242.0,241.0,277.0,4.715180469
290,3k,wall,27,3.295836866,6.40422748,3.79,1.75,1.516,109.0,160.0,170.0,4.71811374
291,3k,road,47,3.850147602,5.799472029,4.55,2.44,1.82,250.0,279.0,249.0,4.719736015
292,3k,step,34,3.526360525,6.152725154,4.11,1.37,1.644,80.0,80.0,71.0,4.720362577
293,3k,bag,38,3.63758616,6.031377497,4.28,1.56,1.712,252.0,170.0,124.0,4.727688749
294,3k,bump,40,3.688879454,5.975416287,4.35,1.6,1.74,67.0,41.0,14.0,4.727708144
295,3k,stand,41,3.713572067,5.948476538,4.39,1.79,1.756,228.0,198.0,201.0,4.730238269
296,3k,smell,36,3.583518938,6.090365073,4.22,1.44,1.688,112.0,113.0,94.0,4.733182536
297,lcnl,stairs,36,3.583518938,6.090365073,4.22,1.86,1.688,93.0,95.0,75.0,4.733182536
298,3k,stay,36,3.583518938,6.090365073,4.22,2.21,1.688,438.0,348.0,301.0,4.733182536
299,3k,splash,24,3.17805383,6.53272929,3.67,2.35,1.468,36.0,21.0,10.0,4.734364645
300,3k,sweet,45,3.80666249,5.846914477,4.53,2.46,1.812,35.0,63.0,64.0,4.735457239
301,3k,speak,22,3.091042453,6.627659085,3.56,1.38,1.424,50.0,107.0,132.0,4.737829543
302,lcnl,pa,47,3.850147602,5.799472029,4.601853,2.82,1.8407412,30.0,73.0,91.0,4.740477215
303,3k,zoo,25,3.218875825,6.488192314,3.75,1.12,1.5,88.0,40.0,26.0,4.744096157
304,3k,ride,49,3.891820298,5.754006934,4.67,2.17,1.868,328.0,195.0,172.0,4.745003467
305,3k,pants,17,2.833213344,6.908951778,3.2271,1.75,1.29084,54.0,29.0,27.0,4.745315889
306,3k,wolf,43,3.761200116,5.896514127,4.5,1.79,1.8,247.0,81.0,39.0,4.748257064
307,3k,both,52,3.951243719,5.689175721,4.772365,1.57,1.908946,213.0,268.0,333.0,4.75353386
308,lcnl,scared,25,3.218875825,6.488192314,3.79,1.47,1.516,141.0,118.0,73.0,4.760096157
309,3k,cheese,37,3.610917913,6.060472672,4.33,1.75,1.732,32.0,31.0,32.0,4.762236336
310,3k,hold,47,3.850147602,5.799472029,4.67,2.89,1.868,175.0,214.0,212.0,4.767736015
311,3k,dig,33,3.496507561,6.185294868,4.19,2.34,1.676,108.0,52.0,45.0,4.768647434
312,3k,loud,42,3.737669618,5.922186004,4.537911,1.51,1.8151644,123.0,140.0,108.0,4.776257402
313,3k,young,44,3.784189634,5.871432462,4.61,1.5,1.844,157.0,297.0,401.0,4.779716231
314,3k,may,94,4.543294782,5.043245405,5.65,2.35,2.26,616.0,518.0,770.0,4.781622703
315,lcnl,eye,23,3.135494216,6.579162017,3.75,1.71,1.5,49.0,118.0,131.0,4.789581009
316,3k,wrong,32,3.465735903,6.218866883,4.22,1.48,1.688,158.0,191.0,168.0,4.797433442
317,3k,dirt,24,3.17805383,6.53272929,3.83,1.15,1.532,103.0,81.0,66.0,4.798364645
318,3k,ground,52,3.951243719,5.689175721,4.89,2.3,1.956,325.0,317.0,335.0,4.800587861
319,3k,toe,13,2.564949357,7.201628967,3.0,1.08,1.2,7.0,13.0,12.0,4.800814484
320,3k,fall,45,3.80666249,5.846914477,4.71,2.63,1.884,273.0,173.0,174.0,4.807457239
321,3k,sea,46,3.828641396,5.822935393,4.74,1.56,1.896,240.0,243.0,225.0,4.807467697
322,3k,close,38,3.63758616,6.031377497,4.5,1.82,1.8,206.0,269.0,251.0,4.815688749
323,3k,use,38,3.63758616,6.031377497,4.5,1.82,1.8,436.0,474.0,666.0,4.815688749
324,3k,sick,27,3.295836866,6.40422748,4.05,2.09,1.62,232.0,170.0,145.0,4.82211374
325,3k,feel,58,4.060443011,5.570038813,5.11,2.73,2.044,466.0,414.0,419.0,4.829019407
326,3k,child,59,4.077537444,5.551388711,5.14536,1.7,2.058144,70.0,118.0,144.0,4.833838356
327,3k,grow,45,3.80666249,5.846914477,4.79,1.93,1.916,298.0,301.0,320.0,4.839457239
328,3k,start,33,3.496507561,6.185294868,4.37,1.74,1.748,227.0,208.0,210.0,4.840647434
329,3k,dress,26,3.258096538,6.445402344,4.05,1.61,1.62,70.0,67.0,71.0,4.842701172
330,3k,pet,26,3.258096538,6.445402344,4.05,1.87,1.62,277.0,106.0,62.0,4.842701172
331,3k,wash,25,3.218875825,6.488192314,4.0,1.59,1.6,63.0,58.0,53.0,4.844096157
332,3k,bring,34,3.526360525,6.152725154,4.42,2.46,1.768,171.0,175.0,190.0,4.844362577
333,lcnl,looks,44,3.784189634,5.871432462,4.772365,1.41,1.908946,418.0,237.0,179.0,4.844662231
334,3k,king,70,4.248495242,5.364873001,5.42,2.63,2.168,399.0,263.0,209.0,4.850436501
335,3k,wear,39,3.663561646,6.003038127,4.63,2.43,1.852,81.0,106.0,108.0,4.853519064
336,3k,toad,115,4.744932128,4.823258174,6.11,2.64,2.444,419.0,63.0,12.0,4.855629087
337,3k,kind,47,3.850147602,5.799472029,4.89,1.23,1.956,256.0,352.0,436.0,4.855736015
338,lcnl,poop,24,3.17805383,6.53272929,4.0,3.11,1.6,,,,4.866364645
339,lcnl,thanks,17,2.833213344,6.908951778,3.53,1.35,1.412,85.0,70.0,47.0,4.866475889
340,3k,dry,26,3.258096538,6.445402344,4.11,1.33,1.644,137.0,133.0,170.0,4.866701172
341,3k,tooth,18,2.890371758,6.846591697,3.61,1.09,1.444,63.0,59.0,23.0,4.867295849
342,3k,throw,26,3.258096538,6.445402344,4.14,1.46,1.656,84.0,77.0,72.0,4.878701172
343,3k,miss,129,4.859812404,4.697923287,6.33,3.41,2.532,,,,4.880961644
344,3k,cut,32,3.465735903,6.218866883,4.43,1.72,1.772,316.0,241.0,205.0,4.881433442
345,3k,blow,23,3.135494216,6.579162017,4.0,1.76,1.6,110.0,61.0,49.0,4.889581009
346,cdi,tickle,29,3.36729583,6.326265436,4.35,2.6,1.74,10.0,3.0,1.0,4.903132718
