,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
4420,3k,mom,67,2.22,1.22,725,375,184
4752,3k,ouch,3,2.417168,1.34,14,6,4
4553,3k,nap,23,2.53,0.77,54,22,8
1593,3k,dad,49,2.58,1.17,731,292,173
3396,3k,hug,45,2.58,0.96,48,23,9
1372,3k,count,17,2.61,0.98,92,57,57
4534,lcnl,my,1152,2.715564,1.44,4702,3178,2715
4636,3k,no,534,2.715564,1.94,2612,2188,2165
3107,3k,hand,65,2.74,1.24,434,501,519
1530,3k,cry,44,2.78,1.66,187,147,89
2026,3k,eat,150,2.78,1.48,1051,585,499
128,3k,bad,78,2.79,1.27,421,301,236
1786,3k,dog,211,2.8,1.2,1241,566,397
3627,3k,jump,31,2.84,1.3,406,110,71
87,3k,ask,65,2.89,1.37,339,309,266
264,3k,bed,165,2.89,1.41,675,405,316
330,3k,big,383,2.89,1.08,2826,1342,969
2,lcnl,a,4838,2.893384,1.21,21811,19884,23168
156,3k,ball,70,2.9,1.22,587,304,248
4663,3k,nose,84,2.95,1.15,181,123,123
3936,3k,leg,25,3,1.5,118,114,83
4579,3k,neck,19,3,1.25,65,87,85
1812,3k,door,155,3.05,1.15,818,782,668
2413,3k,fly,85,3.05,1.18,396,182,110
1228,lcnl,clothes,50,3.11,1.41,155,192,179
4223,3k,man,185,3.11,1.24,1981,1314,977
3839,3k,lap,6,3.15,1.18,23,39,29
3375,3k,house,310,3.16,1.07,1821,1217,1032
2690,3k,get,331,3.17,1.29,3482,2259,1973
3090,3k,hair,68,3.17,1.76,214,246,228
4625,3k,nine,38,3.2271,1.3,53,60,57
4736,3k,one,682,3.2271,1.31,3476,3331,3711
4817,3k,pants,17,3.2271,1.75,54,29,27
222,3k,bath,32,3.23,1.56,26,31,24
2249,3k,fire,74,3.25,1.16,290,394,318
2441,3k,food,69,3.25,1.21,454,529,663
75,3k,arm,13,3.26,1.56,180,189,161
850,3k,cake,50,3.26,2.28,259,68,40
1920,3k,drop,7,3.26,1.33,63,59,47
4746,lcnl,orange,31,3.26,1.15,49,49,41
2177,3k,fell,83,3.280385,1.2,294,238,186
4290,3k,me,757,3.280385,1.5,4027,2813,2606
4758,3k,out,694,3.280385,1.56,3825,3455,3520
1308,3k,come,287,3.32,1.42,2052,1374,1231
3138,3k,hat,120,3.33,1.14,369,140,97
885,3k,car,122,3.37,1.95,741,492,370
2808,3k,go,547,3.37,1.46,3313,2054,1710
3368,3k,hot,75,3.37,1.77,449,281,252
4352,3k,milk,57,3.37,1.42,162,153,127
1134,3k,clap,14,3.4,1.73,26,5,8
250,3k,bean,6,3.42,1.12,21,24,17
3168,3k,head,145,3.42,1.02,643,698,703
3263,3k,him,555,3.429583,1.21,2780,2891,3176
950,3k,chair,24,3.43,1.33,108,130,133
2446,3k,foot,38,3.44,1.38,152,134,140
2084,lcnl,eyes,111,3.443482,1.36,487,652,712
1901,3k,drink,29,3.47,1.31,181,126,96
3259,3k,hill,66,3.47,1.47,252,182,134
5056,3k,please,135,3.482868,1.22,286,207,159
1647,lcnl,day,376,3.5,1.58,1977,1582,1439
1952,3k,duck,72,3.5,1.64,390,50,20
350,3k,bird,112,3.52,1.66,540,167,118
463,3k,blue,144,3.53,1.68,369,202,216
2829,3k,good,366,3.55,1.61,1989,1342,1322
4193,3k,mad,16,3.55,1.5,154,93,59
368,3k,black,98,3.56,1.92,261,293,309
4583,3k,need,64,3.56,1.34,733,546,562
1552,3k,cup,36,3.57,1.99,41,55,43
2524,3k,friend,105,3.57,1.43,427,343,276
252,3k,bear,197,3.58,1.68,902,320,165
359,3k,bite,24,3.58,1.3,54,46,43
639,3k,bread,58,3.58,1.61,142,102,83
1268,3k,coat,25,3.58,1.22,120,82,83
3684,3k,key,14,3.58,1.54,115,65,46
4483,3k,mouth,65,3.58,1.43,127,178,195
1770,3k,do,693,3.6,1.6,4560,3284,3113
3721,3k,kiss,45,3.61,2.25,23,13,10
4147,3k,lunch,50,3.61,1.69,407,167,91
4618,3k,night,274,3.61,1.88,716,718,653
1231,3k,cloud,12,3.63,1.57,94,47,30
2014,3k,ear,32,3.63,1.92,28,74,70
2460,3k,fork,5,3.63,1.86,13,13,10
2559,3k,fruit,16,3.63,1.71,32,48,50
3215,3k,help,153,3.65,1.79,1631,917,754
582,3k,boy,129,3.67,1.88,952,675,614
2580,3k,fun,79,3.67,0.97,629,241,159
4960,3k,pie,41,3.67,1.64,31,22,20
529,3k,book,82,3.68,1.8,641,317,309
914,3k,cat,245,3.68,1.52,904,215,162
1793,3k,doll,2,3.68,1.34,61,30,27
4549,3k,name,112,3.68,1.53,635,533,469
3276,3k,his,1313,3.685351,1.29,5402,6097,6917
3468,lcnl,in,2111,3.685351,1.86,10423,11031,14289
3983,3k,like,572,3.685351,1.89,3487,2649,2660
1238,3k,clown,12,3.72,1.93,41,20,10
3154,3k,have,638,3.72,1.96,4736,3798,4251
4731,3k,old,326,3.72,1.36,1100,1121,1050
820,3k,butt,5,3.73,1.86,0,3,3
78,lcnl,arms,28,3.738636,2.14,110,150,166
2135,3k,fast,111,3.738636,1.33,610,347,221
3231,3k,here,282,3.738636,1.94,2267,1324,1140
1366,3k,couch,2,3.74,1.85,1,12,11
1626,3k,dark,83,3.74,1.37,324,340,310
2082,lcnl,eye,23,3.75,1.71,49,118,131
2089,3k,face,61,3.75,2.2,376,435,483
3969,3k,lie,14,3.75,0.91,35,57,55
741,3k,brush,29,3.78,1.59,68,39,45
525,3k,boo,4,3.781264,2.29,15,8,0
4450,3k,more,260,3.781264,2.04,902,1159,1474
759,3k,bug,6,3.79,1.72,107,26,9
2919,3k,green,141,3.79,1.32,523,276,236
3870,3k,laugh,14,3.79,1.51,163,126,78
4010,3k,lip,4,3.79,1.13,4,11,13
100,3k,aunt,11,3.8,1.61,147,179,144
3178,3k,hear,115,3.8,1.64,482,457,373
4990,3k,pink,31,3.8,1.61,20,43,40
3166,lcnl,he,2627,3.813235,1.41,14660,13284,13114
1756,3k,dirt,24,3.83,1.15,103,81,66
4720,3k,off,225,3.834549,2.09,862,1001,1023
487,3k,boat,47,3.84,1.46,379,207,132
4969,3k,pig,57,3.84,2.03,310,97,46
5045,3k,plate,19,3.84,1.26,16,50,25
809,3k,bus,96,3.85,1.57,349,228,132
2130,3k,farm,15,3.85,1.5,161,138,122
3450,3k,ice,51,3.86,1.06,127,156,160
3695,lcnl,kids,32,3.861149,1.2,211,178,152
3323,3k,home,268,3.86652,1.88,1677,1094,939
4668,3k,not,830,3.887834,2.22,5662,3814,4116
288,3k,bell,48,3.89,1.68,248,108,80
1155,3k,clean,41,3.89,1.49,258,163,134
1428,3k,crawl,6,3.89,1.23,17,12,16
2043,3k,egg,38,3.89,1.85,133,90,53
34,3k,air,71,3.94,1.55,314,415,516
1384,3k,cow,59,3.94,1.63,154,66,48
2896,3k,grass,66,3.94,1.55,232,186,175
1298,3k,cold,86,3.95,1.79,394,322,365
4608,3k,nice,85,3.95,1.51,333,232,170
4865,3k,pea,15,3.95,1.68,15,10,6
5039,3k,plant,3,3.95,1.65,216,124,108
458,3k,blow,23,4,1.76,110,61,49
2725,3k,girl,80,4,1.89,643,401,356
3431,3k,hurt,22,4,1.45,213,214,160
3826,3k,lamp,5,4,2.08,18,26,28
4296,3k,mean,43,4,1.68,330,377,282
4315,cdi,meow,14,4,2.5,5,5,1
4874,3k,pear,3,4,1.7,0,1,2
4734,lcnl,on,1441,4.005061,1.28,6973,6540,7316
93,lcnl,at,799,4.037032,1.37,5635,5090,5491
1017,3k,chew,15,4.05,1.51,7,11,12
1891,3k,dress,26,4.05,1.61,70,67,71
2259,3k,fish,115,4.05,1.61,908,366,237
3981,3k,light,61,4.05,1.99,356,353,454
4077,3k,look,223,4.05,1.68,2541,1488,1416
4498,3k,mud,20,4.05,1.61,81,86,61
4934,3k,pet,26,4.05,1.87,277,106,62
3690,3k,kick,4,4.06,1.73,20,19,20
312,3k,best,105,4.090317,1.66,395,372,339
3104,3k,ham,13,4.1,1.48,47,14,9
5049,3k,play,126,4.1,2.59,1169,470,322
649,3k,breathe,1,4.11,1.88,30,37,39
1871,3k,draw,13,4.11,1.13,134,69,72
1946,3k,dry,26,4.11,1.33,137,133,170
3060,3k,guy,10,4.11,1.91,25,51,38
4950,3k,phone,13,4.11,1.49,90,90,69
4745,lcnl,or,311,4.143602,1.25,931,1553,2536
3361,3k,horse,37,4.15,1.46,246,233,232
3755,3k,knife,6,4.15,1.8,20,46,42
3821,3k,lamb,8,4.15,1.81,24,16,14
1292,3k,coin,4,4.17,1.25,8,10,10
2166,3k,feed,13,4.17,1.58,86,75,65
1727,3k,dig,33,4.19,2.34,108,52,45
728,3k,brown,77,4.196887,1.31,264,162,151
295,3k,bench,1,4.21,1.81,55,30,29
4867,3k,peach,8,4.21,1.27,7,15,8
1037,3k,chin,16,4.22,4.1,26,24,28
1322,3k,cook,15,4.22,1.31,161,76,53
45,3k,all,1080,4.239515,1.4,3931,3788,3965
4072,3k,long,229,4.239515,1.83,966,1098,1146
4367,3k,mine,39,4.239515,2.42,116,104,93
2576,3k,full,71,4.24,1.61,92,167,192
575,3k,bowl,14,4.26,2.28,59,64,38
963,3k,change,21,4.26,1.66,137,214,217
1579,3k,cute,6,4.26,1.45,6,18,11
2624,3k,game,18,4.26,1.82,337,201,161
4788,3k,pain,4,4.26,1.52,31,52,57
131,3k,bag,38,4.28,1.56,252,170,124
404,3k,bleed,1,4.28,1.56,1,1,1
2065,3k,end,93,4.28,2.61,296,327,384
2733,3k,give,103,4.28,1.93,570,523,477
3693,3k,kid,19,4.28,1.56,107,109,74
4324,3k,mess,19,4.28,1.45,72,45,23
580,3k,box,86,4.3,1.66,653,267,174
2777,3k,glove,4,4.3,1.63,6,14,7
3964,3k,lick,4,4.3,1.53,14,10,7
59,3k,ant,2,4.32,1.57,114,27,13
869,3k,can,507,4.32,2.26,5068,2608,2656
1368,3k,cough,4,4.32,2.11,1,4,7
2543,3k,frog,117,4.32,1.45,876,101,28
1005,3k,cheese,37,4.33,1.75,32,31,32
1826,lcnl,dot,23,4.33,1.41,59,12,7
2817,3k,god,25,4.346085,2.38,27,47,58
3858,3k,last,119,4.346085,1.83,632,675,653
4185,lcnl,ma,48,4.346085,2.74,15,80,84
4605,3k,next,144,4.346085,1.86,972,841,688
4755,3k,our,209,4.346085,1.53,621,709,909
777,3k,bump,40,4.35,1.6,67,41,14
19,3k,age,1,4.38,1.36,29,62,91
2255,3k,first,138,4.388713,1.31,745,994,1181
2451,3k,for,1177,4.388713,1.97,5851,5615,6423
3233,3k,hers,1,4.388713,1.48,10,15,12
3117,3k,hard,76,4.39,2.15,573,581,543
3484,lcnl,it,1687,4.39937,1.95,12605,11006,11906
3624,3k,juice,11,4.4,2.21,13,29,33
692,3k,bring,34,4.42,2.46,171,175,190
1207,3k,clock,16,4.42,1.46,112,67,60
3663,3k,keep,67,4.42,2.04,496,530,579
3745,3k,knee,8,4.42,2.52,14,23,24
4009,cdi,lion,54,4.42,1.74,225,109,74
4299,3k,meat,11,4.42,1.57,50,93,103
1578,3k,cut,32,4.43,1.72,316,241,205
2373,3k,floor,56,4.44,1.98,246,227,250
3908,3k,learn,15,4.44,1.42,192,256,269
2545,3k,from,370,4.441998,2.24,2044,2639,3623
3433,3k,hush,20,4.441998,1.88,6,13,8
762,3k,build,28,4.45,1.57,41,100,96
4792,3k,paint,15,4.45,1.32,225,66,54
954,3k,chalk,5,4.47,1.17,6,7,11
2745,3k,glass,19,4.47,1.65,97,111,115
3251,3k,hide,24,4.47,2.14,178,83,68
4825,3k,park,20,4.47,1.87,231,126,104
190,3k,barn,20,4.5,1.62,50,81,79
1221,3k,close,38,4.5,1.82,206,269,251
1973,3k,dumb,5,4.5,1.5,28,27,21
3773,3k,know,257,4.5,2.12,2010,1924,1730
4646,3k,noise,49,4.5,2.2,213,157,111
2269,3k,five,59,4.50594,1.36,168,226,224
2555,3k,frown,3,4.52,1.69,8,11,9
773,3k,bull,15,4.53,2.29,25,15,22
1722,3k,die,10,4.53,1.78,44,93,62
3953,3k,let,119,4.53,2.09,919,662,613
4981,3k,pin,8,4.53,1.39,22,10,15
4111,3k,loud,42,4.537911,1.51,123,140,108
4719,lcnl,of,2203,4.548568,2.36,8779,11938,17271
5118,3k,point,12,4.55,1.61,34,79,100
54,3k,and,6832,4.569882,1.94,17513,19697,24657
1326,3k,cool,14,4.58,2.32,60,93,113
2262,3k,fist,1,4.58,1.64,4,18,16
3254,3k,high,91,4.58,2.24,243,344,407
3724,3k,kite,10,4.58,1.64,127,32,25
4528,3k,must,148,4.58,2.36,818,792,834
4494,3k,much,138,4.580539,1.24,698,820,975
3890,3k,leaf,11,4.6,2.37,30,30,24
817,3k,but,1097,4.601853,2.45,5172,4711,5113
4756,unl,ours,2,4.601853,2.05,8,14,14
4772,lcnl,pa,47,4.601853,2.82,30,73,91
915,3k,catch,53,4.61,2.07,187,192,146
1355,3k,corn,24,4.61,2.64,42,85,84
3818,3k,lake,5,4.61,1.72,202,129,112
4268,3k,mat,16,4.62,2.22,27,13,9
4486,3k,move,33,4.62,1.75,392,382,381
1615,3k,dance,89,4.63,1.57,55,60,51
1940,3k,drum,16,4.63,2.19,21,12,19
3764,3k,knock,20,4.63,2.06,20,28,32
4201,3k,mail,18,4.65,2.01,69,37,29
1313,3k,cone,5,4.67,2.57,14,10,9
2784,3k,glue,2,4.67,1.08,13,6,9
3316,3k,hold,47,4.67,2.89,175,214,212
2479,3k,fourth,6,4.676452,1.29,14,21,38
343,3k,bin,3,4.68,2.67,1,5,4
554,3k,born,22,4.68,1.97,30,95,119
4213,3k,make,233,4.68,1.77,1380,1258,1453
1150,3k,claw,2,4.7,2.2,6,4,2
4124,3k,low,18,4.7,1.22,62,112,151
2115,3k,fall,45,4.71,2.63,273,173,174
4722,unl,oh,351,4.71908,1.85,867,597,477
4601,3k,new,174,4.72,2.14,879,794,945
4769,lcnl,ox,2,4.72,1.96,27,16,13
4809,3k,pan,6,4.72,1.53,100,41,18
855,3k,call,76,4.74,1.85,341,315,268
1069,3k,choose,22,4.74,1.79,12,51,60
1497,3k,cross,24,4.74,1.76,56,71,82
3979,3k,lift,8,4.74,1.91,27,39,43
4294,3k,meal,10,4.74,1.56,20,41,49
4303,3k,meet,27,4.74,1.73,101,129,138
3279,3k,hit,13,4.75,2.83,263,189,145
561,3k,both,52,4.772365,1.57,213,268,333
4079,lcnl,looks,44,4.772365,1.41,418,237,179
332,3k,bike,33,4.79,1.65,173,87,59
437,3k,block,16,4.79,3.08,87,65,59
2156,3k,fear,20,4.79,1.93,15,46,75
2999,3k,grow,45,4.79,1.93,298,301,320
239,3k,beach,27,4.8,1.54,82,81,83
4258,3k,mask,2,4.8,2.46,28,17,16
4434,3k,moon,88,4.83,2.31,196,119,143
253,3k,beard,5,4.84,1.8,4,13,17
3348,3k,hop,36,4.84,2.17,107,19,16
3356,3k,horn,20,4.84,1.01,16,27,23
217,3k,bat,26,4.85,1.73,51,32,22
2399,3k,fluff,4,4.85,1.57,10,0,2
3998,3k,line,35,4.85,2.52,181,174,206
545,lcnl,boots,12,4.86,2.71,50,48,43
2125,3k,far,61,4.878935,1.57,377,369,389
1881,3k,dream,18,4.88,1.95,61,68,67
447,3k,blood,4,4.89,1.64,34,63,75
783,3k,bunch,15,4.89,1.78,24,29,19
1761,3k,dish,12,4.89,2.42,41,31,10
2512,3k,freeze,8,4.89,1.76,4,8,13
2990,3k,ground,52,4.89,2.3,325,317,335
3044,3k,gum,6,4.89,1.13,15,18,19
3349,3k,hope,40,4.89,2.11,136,113,107
3707,3k,kind,47,4.89,1.23,256,352,436
4961,3k,piece,21,4.89,1.7,114,155,174
810,3k,bush,18,4.9,2.1,20,21,31
3397,3k,huge,17,4.9,3.14,30,80,116
1844,3k,down,522,4.93222,1.96,2635,2173,1958
2477,3k,four,81,4.93222,2.48,222,249,293
4481,3k,mouse,111,4.94,1.76,442,171,82
573,3k,bow,26,4.95,2.22,15,25,30
1145,3k,class,16,4.95,1.36,182,181,177
5015,3k,place,104,4.95,1.96,720,670,756
5031,3k,plane,11,4.95,2.3,86,89,64
5122,3k,poke,1,4.95,2.37,1,3,5
2013,3k,each,95,4.953534,1.53,566,741,955
