word,freq_lcnl
leaves,30
likes,30
lots,30
nobody,30
played,30
stuck,30
tiny,30
twenty,30
afternoon,29
also,29
bottle,29
brush,29
dinosaur,29
downstairs,29
drink,29
everybody,29
everywhere,29
finger,29
fingers,29
having,29
lay,29
lovely,29
merriweather,29
places,29
pop,29
puppy,29
queen,29
ring,29
sandwich,29
soup,29
spring,29
tickle,29
tight,29
toys,29
arms,28
babar,28
beans,28
build,28
bunny,28
dragons,28
few,28
he'd,28
nanny,28
ones,28
seven,28
sign,28
sounds,28
south,28
whistle,28
winnie,28
worried,28
year,28
already,27
beach,27
became,27
broke,27
clack,27
climb,27
dancing,27
dr,27
dum,27
eight,27
general,27
here's,27
katy,27
mcbee,27
meet,27
meeting,27
monster,27
myself,27
pussy,27
rolled,27
short,27
sick,27
sleeping,27
summer,27
swish,27
table,27
TRUE,27
wall,27
whose,27
bat,26
bow,26
dragon,26
dress,26
driver,26
dry,26
extra,26
fat,26
giant,26
gray,26
haven't,26
hi,26
irene,26
longer,26
magic,26
master,26
max,26
office,26
penny,26
perhaps,26
pet,26
pip,26
pole,26
rather,26
river,26
rope,26
ruff,26
sand,26
she's,26
smile,26
throw,26
windows,26
bees,25
between,25
blaze,25
bushes,25
clear,25
clifford,25
closed,25
coat,25
doughnut,25
dropped,25
eloise,25
flower,25
god,25
half,25
heavy,25
ho,25
jenny's,25
knees,25
later,25
leg,25
mallard,25
pocket,25
probably,25
pull,25
scared,25
shang,25
standing,25
upstairs,25
wash,25
word,25
zoo,25
anymore,24
bite,24
branch,24
broken,24
carry,24
chair,24
chase,24
christmas,24
corn,24
cross,24
daddy,24
danced,24
dirt,24
easy,24
fair,24
farmer,24
fit,24
fritz,24
goat,24
held,24
hide,24
hurried,24
ladder,24
land,24
laughing,24
living,24
lorax,24
pail,24
pat,24
pete,24
poop,24
reach,24
sneeze,24
special,24
splash,24
tacos,24
thinking,24
tikki,24
wife,24
words,24
write,24
ago,23
anyway,23
band,23
beginning,23
blow,23
carried,23
cause,23
chocolate,23
crawled,23
crow,23
dot,23
dreams,23
eye,23
forever,23
free,23
gets,23
hook,23
horton,23
hung,23
led,23
maid,23
money,23
monkey,23
monkeys,23
nap,23
none,23
o'clock,23
olivia,23
part,23
paws,23
pout,23
quietly,23
rogers,23
rushed,23
shark,23
snake,23
steam,23
store,23
supper,23
talking,23
tea,23
trains,23
wheels,23
wished,23
worry,23
angry,22
anyone,22
b,22
boom,22
born,22
cans,22
choo,22
choose,22
department,22
drive,22
dug,22
forget,22
forgot,22
fresh,22
glad,22
hay,22
hippos,22
hurt,22
jim,22
kissed,22
letter,22
mayor,22
mountains,22
moved,22
music,22
paul,22
pot,22
proud,22
puppies,22
ralph,22
shiny,22
speak,22
strawberry,22
swim,22
t,22
taste,22
trip,22
trouble,22
whiskers,22
wondered,22
2,21
3,21
bats,21
bells,21
bridge,21
change,21
circle,21
colors,21
crazy,21
curious,21
de,21
den,21
desk,21
dust,21
e,21
fallen,21
frightened,21
hoo,21
join,21
kitten,21
l,21
luck,21
lucky,21
martha,21
meant,21
minute,21
morris,21
mother's,21
nutbrown,21
ocean,21
penguin,21
piece,21
piglet,21
riddle,21
rose,21
s,21
secret,21
shout,21
sight,21
singing,21
strange,21
surprise,21
swamp,21
sylvester,21
takes,21
track,21
tricks,21
watching,21
woke,21
worked,21
wrote,21
yard,21
you'd,21
against,20
anywhere,20
arrived,20
barn,20
belly,20
cozy,20
dolls,20
doughnuts,20
eaten,20
empty,20
exactly,20
explained,20
fear,20
florio,20
happen,20
hooray,20
horn,20
houses,20
hush,20
im,20
jo,20
john,20
kittens,20
knock,20
lives,20
mud,20
often,20
onto,20
pajama,20
park,20
peanut,20
plan,20
rescue,20
rocket,20
saturday,20
shop,20
since,20
spoke,20
stinky,20
stripes,20
telephone,20
thin,20
turtles,20
whoooooooo,20
writing,20
1,19
ahead,19
apples,19
bigger,19
break,19
buttons,19
certainly,19
clang,19
clever,19
coaches,19
ed,19
glass,19
gordon,19
gown,19
grace,19
hills,19
hundred,19
jungle,19
kid,19
lifted,19
lulu,19
market,19
mess,19
moving,19
neck,19
north,19
note,19
plate,19
poem,19
rained,19
replied,19
rocks,19
sal,19
seeds,19
ship,19
speck,19
stone,19
suit,19
surprised,19
taking,19
thousand,19
tortoise,19
trash,19
unicorn,19
wake,19
woods,19
working,19
yertle,19
ah,18
albie,18
alligator,18
awful,18
battle,18
below,18
brain,18
breath,18
bush,18
cave,18
chicka,18
clouds,18
cookie,18
country,18
ding,18
doctor,18
doors,18
dream,18
dressed,18
elephants,18
elizabeth,18
except,18
field,18
flop,18
game,18
gate,18
gives,18
goo,18
goodbye,18
happily,18
harold,18
hid,18
job,18
kisses,18
knocked,18
knox,18
lonely,18
low,18
mail,18
mirror,18
moving_,18
nest,18
person,18
pickle,18
raised,18
returned,18
riding,18
ruby,18
shake,18
sighed,18
smart,18
somebody,18
somewhere,18
son,18
stepped,18
string,18
tent,18
third,18
thumb,18
tonight,18
tooth,18
tractor,18
week,18
whatever,18
wings,18
wren,18
4,17
applesauce,17
bang,17
bark,17
bears,17
buzz,17
calling,17
captain's,17
carrots,17
chairs,17
click,17
count,17
delicious,17
drives,17
during,17
elevator,17
feels,17
fur,17
garbage,17
grown,17
hang,17
hanging,17
hate,17
hedgie,17
huge,17
jumping,17
listened,17
m,17
mixed,17
pants,17
plain,17
quilt,17
raced,17
remus,17
rode,17
romulus,17
rumphius,17
scratch,17
spaghetti,17
stole,17
taken,17
terribly,17
thanks,17
thinks,17
traffic,17
twins,17
uh,17
umbrella,17
uncle,17
victoria,17
waved,17
whoo,17
yourself,17
able,16
allowed,16
angelina,16
bet,16
block,16
branches,16
c,16
cap,16
case,16
chin,16
class,16
clay,16
clock,16
d,16
discovered,16
drum,16
elmo,16
escape,16
excuse,16
folks,16
friendly,16
fruit,16
gilly,16
goldie,16
grows,16
harry,16
heads,16
indeed,16
lazy,16
lead,16
least,16
list,16
mad,16
mag,16
mat,16
miles,16
news,16
pebble,16
piano,16
pictures,16
prince,16
rules,16
salt,16
scratched,16
seat,16
seem,16
sell,16
share,16
shovel,16
slide,16
smoke,16
softly,16
space,16
streets,16
tank,16
threw,16
triangle,16
wearing,16
wee,16
5,15
6,15
asks,15
bagpipe,15
balloons,15
beat,15
begins,15
blink,15
boring,15
breeze,15
bull,15
bunch,15
chang,15
chew,15
chugga,15
clickety,15
cook,15
doodle,15
ducklings,15
excited,15
farm,15
flap,15
friday,15
guests,15
horses,15
joy,15
landed,15
laura,15
learn,15
manners,15
members,15
needs,15
nnn,15
pack,15
paint,15
passed,15
pea,15
persisted,15
pigs,15
potty,15
puffed,15
reason,15
rule,15
sadly,15
screech,15
send,15
shadow,15
shirt,15
showed,15
sidewalk,15
sigh,15
simply,15
sinbad,15
sleepy,15
starts,15
storm,15
tom,15
truffula,15
trunk,15
turning,15
visit,15
whisper,15
wore,15
_the,14
added,14
albert,14
alexander,14
annabelle,14
bathing,14
beneath,14
beside,14
bowl,14
calf,14
candy,14
chance,14
clap,14
colored,14
cool,14
cows,14
crunch,14
crying,14
daughter,14
dirty,14
drove,14
either,14
engines,14
f,14
froggy,14
gay,14
gonna,14
hadn't,14
hats,14
hippopotamus,14
holes,14
johnny,14
july,14
key,14
laugh,14
lie,14
loris,14
lydia,14
meadow,14
meow,14
names,14
nelson,14
nikolai,14
noon,14
notice,14
number,14
nuts,14
oops,14
p,14
polar,14
pool,14
puddle,14
race,14
remembered,14
sailed,14
santa,14
sees,14
skates,14
snort,14
spicy,14
spoon,14
spread,14
stack,14
stew,14
sugar,14
sunday,14
swan,14
swing,14
talked,14
themselves,14
thirty,14
tied,14
tongue,14
van,14
w,14
women,14
yap,14
7,13
amos,13
arm,13
bake,13
biggest,13
blueberries,13
bought,13
boxes,13
careful,13
carefully,13
changed,13
classroom,13
coconut,13
conductor,13
crash,13
diamond,13
draw,13
em,13
exciting,13
fact,13
feed,13
ferdinand,13
fiddle,13
fix,13
flat,13
forward,13
g,13
gang,13
gently,13
gitchy,13
golden,13
grandfather,13
ham,13
harm,13
hit,13
holding,13
hunt,13
island,13
j,13
kangaroo,13
killed,13
less,13
lord,13
married,13
mice,13
moonlight,13
n,13
nail,13
neat,13
needed,13
pages,13
pair,13
pajamas,13
parties,13
path,13
pay,13
phone,13
plenty,13
police,13
polite,13
presents,13
push,13
pushing,13
r,13
rang,13
rice,13
rob,13
salsa,13
she'll,13
shouldn't,13
simple,13
single,13
sleigh,13
slice,13
snack,13
spy,13
sunny,13
thick,13
toast,13
toe,13
touched,13
tucked,13
unless,13
welcome,13
willie,13
win,13
wishes,13
ye,13
zoom,13
ain't,12
animal,12
appeared,12
babies,12
bari,12
bent,12
bone,12
boots,12
brakes,12
brave,12
bumble,12
bumpy,12
castle,12
ceiling,12
chari,12
chasing,12
claws,12
climbing,12
closet,12
cloud,12
clover,12
clown,12
covers,12
creature,12
crooked,12
dead,12
dentist,12
dish,12
east,12
edge,12
eleven,12
especially,12
exclaimed,12
fields,12
floating,12
flossy,12
furry,12
gasazi,12
goldbug,12
goodness,12
goosey,12
granny,12
growing,12
handsome,12
happening,12
humming,12
insist,12
james,12
jelly,12
kinds,12
king's,12
ladybugs,12
learned,12
letters,12
lines,12
lose,12
machines,12
mickey,12
minutes,12
missing,12
monday,12
mortimer,12
nearby,12
nearly,12
pass,12
passengers,12
pile,12
point,12
poky,12
policemen,12
proudly,12
pudding,12
purse,12
rattle,12
realized,12
rembo,12
retrieving,12
roads,12
rocked,12
rocky,12
rolls,12
ryder,12
sharp,12
shh,12
shy,12
simon,12
snail,12
snapped,12
sniffed,12
stared,12
sticks,12
super,12
surely,12
swam,12
swimming,12
tag,12
they'll,12
trying,12
tsz,12
underneath,12
understand,12
usually,12
waves,12
weak,12
weather,12
where's,12
accident,11
act,11
alligators,11
among,11
anna,11
anybody,11
arthur's,11
asking,11
aunt,11
bakery,11
bear's,11
bedroom,11
bedtime,11
begged,11
bingo,11
blocks,11
bo,11
bother,11
broom,11
brother's,11
bumpety,11
cents,11
chicks,11
comb,11
corduroy,11
cousin,11
crept,11
crowd,11
custard,11
david,11
dibble,11
digging,11
donkey,11
double,11
drew,11
duchess,11
ducks,11
earth,11
ends,11
faces,11
fed,11
floated,11
fond,11
forgotten,11
george's,11
gore,11
grabbed,11
grum,11
h,11
heaven,11
helping,11
hopped,11
hubbles,11
itself,11
jacket,11
juice,11
laid,11
lawn,11
leaf,11
licken,11
lying,11
mack,11
marry,11
mcgregor,11
meat,11
million,11
millions,11
order,11
palace,11
parents,11
pembo,11
peri,11
plane,11
plum,11
porch,11
pots,11
pray,11
principal,11
promised,11
protect,11
pup,11
quarters,11
question,11
roared,11
roll,11
royal,11
ruchi,11
runs,11
sa,11
sack,11
saved,11
screamed,11
searched,11
she'd,11
shelf,11
shot,11
shower,11
silent,11
sits,11
slid,11
sounded,11
spent,11
spike,11
straw,11
sweater,11
tails,11
tears,11
thee,11
they've,11
throne,11
tinker's,11
trot,11
turns,11
tv,11
tweetle,11
twice,11
u,11
ugly,11
usual,11
washed,11
wedding,11
wherever,11
who'll,11
wicked,11
worse,11
adopted,10
aj,10
alive,10
answers,10
attention,10
baked,10
baker,10
barber,10
beetle,10
begin,10
beyond,10
blanket,10
blowing,10
boa,10
bones,10
buckets,10
buggy,10
business,10
buzzing,10
calls,10
celeste,10
cherry,10
chirped,10
cinderella,10
circus,10
closer,10
constrictor,10
continued,10
counted,10
cover,10
crane,10
cries,10
diddle,10
die,10
dingo,10
dishes,10
ditty,10
duke,10
eek,10
electric,10
express,10
flitter,10
furniture,10
fuzzy,10
gallop,10
geese,10
gentle,10
gingko,10
goldfish,10
gruffalo's,10
guy,10
ha,10
handed,10
highway,10
hind,10
honor,10
hose,10
hours,10
jig,10
judge,10
kite,10
ladies,10
lee,10
ler,10
lisa,10
load,10
loose,10
mac,10
main,10
malt,10
march,10
meal,10
melvin,10
napping,10
nodded,10
numbers,10
nut,10
oil,10
oink,10
ooo,10
p.s,10
parade,10
perfectly,10
pirate,10
pointed,10
pointing,10
poked,10
politely,10
questions,10
rainy,10
rat,10
reading,10
retrieve,10
rich,10
rocking,10
safely,10
sammy,10
save,10
seats,10
seek,10
service,10
settle,10
settled,10
shining,10
shiver,10
shouting,10
signal,10
silence,10
sings,10
skate,10
snoring,10
soap,10
sparrow,10
spot,10
sprinkles,10
stretched,10
striped,10
students,10
supposed,10
tao,10
taught,10
teach,10
throat,10
tick,10
tie,10
tip,10
touch,10
tracks,10
truth,10
tuesday,10
tummy,10
twinkle,10
upside,10
weren't,10
whale,10
wheat,10
whether,10
who's,10
winds,10
wire,10
workers,10
y,10
yarn,10
yell,10
z,10
zup,10
10,9
agree,9
aren't,9
awake,9
baby's,9
bathroom,9
becoming,9
beetles,9
beg,9
billions,9
blueberry,9
boiled,9
bricks,9
bubbles,9
bugs,9
bulldozer,9
bumps,9
cage,9
carrot,9
caterpillar,9
center,9
charge,9
cheer,9
cheered,9
chest,9
chewed,9
chosen,9
coal,9
coffee,9
company,9
crayons,9
curly,9
dame,9
darling,9
disappeared,9
doo,9
dreamed,9
duckling,9
ducky,9
dusty,9
eats,9
enormous,9
entire,9
fancy,9
father's,9
feast,9
featherlegs,9
fellow,9
fetch,9
fill,9
float,9
flute,9
games,9
geoppolis,9
gerald,9
gift,9
glasses,9
gotta,9
grab,9
grandpa,9
harder,9
hardly,9
hatch,9
hood,9
horns,9
horrible,9
hospital,9
hundreds,9
imagine,9
ink,9
japan,9
jar,9
jaws,9
joe,9
joined,9
jolly,9
kindly,9
kissing,9
klopp,9
known,9
leaving,9
lilly's,9
lima,9
lions,9
lock,9
london,9
luckily,9
macaroni,9
machine,9
maisy,9
mark,9
merry,9
mew,9
mighty,9
mistress,9
movie,9
napkin,9
naughty,9
neighborhood,9
nights,9
nurse,9
older,9
ought,9
pancake,9
paotze,9
picking,9
pieces,9
piled,9
piper,9
planted,9
popped,9
potatoes,9
problem,9
promise,9
puff,9
railroad,9
ribbons,9
roof,9
rough,9
rude,9
sail,9
sale,9
seed,9
seems,9
sews,9
shade,9
shore,9
shovels,9
silk,9
sink,9
skating,9
skipped,9
smelled,9
snores,9
sore,9
spin,9
splashing,9
split,9
sports,9
st,9
steps,9
stops,9
stuff,9
sue,9
swap,9
swung,9
taco,9
taffy,9
tale,9
taps,9
tells,9
thanked,9
thou,9
thursday,9
thy,9
tossed,9
tough,9
towels,9
tre,9
tune,9
twelve,9
view,9
voices,9
walks,9
washing,9
ways,9
we'd,9
wednesday,9
west,9
wing,9
wise,9
yipiyuk,9
yours,9
_great_,8
100,8
8,8
agreed,8
aha,8
ambulance,8
apartment,8
april,8
asphalt,8
backwards,8
bank,8
batter,8
beef,8
beluga,8
bend,8
besides,8
billy,8
blankets,8
blows,8
blurp,8
board,8
body,8
brick,8
brings,8
brushed,8
burst,8
chick,8
circles,8
clocks,8
coloring,8
countryside,8
crack,8
crown,8
crumbs,8
daisies,8
dare,8
decide,8
demanded,8
diaper,8
died,8
distance,8
doorway,8
dopp,8
dots,8
dreaming,8
dreary,8
edward's,8
eyed,8
fabulous,8
falls,8
faraway,8
fifteen,8
fifty,8
finish,8
fluffy,8
fol,8
following,8
fool,8
fought,8
freeze,8
french,8
gasped,8
gino,8
given,8
goose,8
grandmother,8
grapes,8
guard,8
headed,8
hector,8
helmet,8
hidden,8
hippo,8
hiroko,8
hum,8
hurray,8
ill,8
indoors,8
invisible,8
jamma,8
jumps,8
knee,8
lamb,8
lane,8
lean,8
lemon,8
lift,8
listening,8
locked,8
lol,8
loosey,8
loving,8
ly,8
madame,8
maids,8
mama's,8
maple,8
marched,8
meatballs,8
mile,8
morn,8
mothers,8
motor,8
nails,8
neither,8
net,8
nowhere,8
officer,8
ol,8
one's,8
parlor,8
passenger,8
patch,8
peach,8
pigeon,8
pin,8
placed,8
plants,8
plowed,8
poached,8
present,8
pressed,8
proper,8
prove,8
q,8
racing,8
rag,8
rid,8
rise,8
rita,8
rivers,8
rug,8
sake,8
sally,8
sarah,8
scream,8
served,8
setting,8
sew,8
shapes,8
shell,8
shopping,8
sisters,8
sixpence,8
skip,8
skunk,8
smash,8
smells,8
smiling,8
smooth,8
snacks,8
sniff,8
snuggle,8
sold,8
solomon,8
someday,8
speaking,8
sped,8
spider,8
squares,8
staring,8
stomach,8
stones,8
stores,8
stumble,8
surrounded,8
swims,8
telling,8
tender,8
they'd,8
thousands,8
tiddle,8
toad's,8
tommy,8
tore,8
tra,8
trail,8
trashy,8
treat,8
trillions,8
tum,8
tumbled,8
tweedle,8
um,8
useful,8
walls,8
war,8
waving,8
wears,8
weeds,8
weeks,8
wheel,8
wheelbarrow,8
whenever,8
whistled,8
willy,8
wine,8
wrapped,8
written,8
x,8
yeah,8
yummy,8
zebra,8
zeg,8
1936,7
aboard,7
airport,7
alarm,7
aloud,7
alphabet,7
amazed,7
amazing,7
annie,7
annual,7
archduke,7
auto,7
balls,7
bar,7
belong,7
berry,7
bits,7
bless,7
blub,7
bobbin,7
bobby,7
bonny,7
brains,7
bruin,7
bucket,7
building,7
bumped,7
buns,7
bunting,7
buried,7
burned,7
burnt,7
buster,7
candle,7
cardboard,7
carrion,7
cart,7
chains,7
charlie,7
checked,7
chose,7
chug,7
church,7
cleared,7
cluck,7
cocky,7
colder,7
collar,7
comfortable,7
cork,7
counting,7
crossly,7
crumpled,7
crusher,7
cuddle,7
cups,7
curl,7
daisy,7
dashed,7
dearest,7
derby,7
difficult,7
digs,7
direction,7
disturb,7
driving,7
drop,7
emma,7
ended,7
enjoy,7
expect,7
extremely,7
farther,7
feathers,7
fishing,7
flapped,7
fred,7
further,7
gander,7
gas,7
gathered,7
gentlemen,7
giggled,7
giving,7
gloria,7
gloves,7
grand,7
gravel,7
growl,7
gun,7
handy,7
hasn't,7
hearts,7
hens,7
hester,7
hiss,7
hog,7
honk,7
hoped,7
hoping,7
hump,7
ickle,7
inch,7
introduced,7
judy,7
junior,7
kill,7
kitty,7
knit,7
lakes,7
larger,7
laughter,7
leap,7
likely,7
lizzy,7
llama's,7
locky,7
longed,7
loudly,7
lupines,7
madeline,7
magical,7
mare,7
mars,7
meanwhile,7
mend,7
merriweather's,7
michael,7
missed,7
mistake,7
mixer,7
mule,7
mungry,7
murmured,7
neigh,7
neighbors,7
nicely,7
nothin,7
ok,7
oven,7
pardon,7
peacock,7
pease,7
peddler,7
pencil,7
pillow,7
pinkalicious,7
pipe,7
plastic,7
plates,7
polly,7
pookie,7
possibly,7
poured,7
powder,7
practice,7
press,7
pretended,7
prettiest,7
puts,7
rabbit's,7
ram,7
rats,7
recess,7
remind,7
resting,7
return,7
roar,7
roaring,7
roars,7
roller,7
sailing,7
scarcely,7
scary,7
several,7
shoot,7
shorts,7
shoulder,7
sister's,7
size,7
skin,7
skipperdee,7
slipped,7
sneaky,7
snowman,7
sons,7
speech,7
speed,7
spell,7
spotted,7
squeak,7
steal,7
steel,7
stocking,7
stopping,7
strangest,7
struck,7
stump,7
suppose,7
sweaters,7
tap,7
tasty,7
thud,7
thumbs,7
tiger,7
tow,7
tray,7
triangles,7
trixie,7
underground,7
unhappy,7
using,7
vet,7
village,7
wagon,7
waits,7
wave,7
weenie,7
witch,7
wondering,7
york,7
11,6
9,6
adventure,6
airplanes,6
american,6
announced,6
antique,6
anxious,6
apart,6
arf,6
axe,6
ba,6
baa,6
backyard,6
banged,6
bars,6
bean,6
beds,6
bessy,6
bicycle,6
bikes,6
bing's,6
blade,6
blind,6
bored,6
bout,6
bug,6
buildings,6
cakes,6
california,6
camel,6
carrying,6
cereal,6
charley,6
cheering,6
chewandswallow,6
chief,6
childhood,6
choice,6
clavel,6
concertina,6
cottage,6
crawl,6
creep,6
cub,6
cute,6
dancer,6
deal,6
decker,6
declared,6
dee,6
deer,6
delighted,6
delivery,6
dessert,6
dickory,6
disappear,6
dollar,6
dong,6
dozen,6
dozing,6
drake,6
drank,6
drapes,6
drawing,6
dreadful,6
dwell,6
eagle,6
elmo's,6
elves,6
empties,6
faint,6
fairy,6
fan,6
fault,6
fireman,6
firemen,6
flag,6
flea,6
flies,6
flip,6
forlorn,6
fourth,6
france,6
frisbee,6
frosty,6
gather,6
gazed,6
ghost,6
giraffe,6
goldilicious,6
grumbled,6
grumpy,6
gum,6
hairy,6
hatt,6
heigh,6
hiding,6
